"stock_id","SKU","Image_URL","category","Title","description","long_description","price","instock","managestock","virtual","downloadable","tax_status","tax_class","allow_backorders","shipping_weight","shipping_length","shipping_width","shipping_height","shipping_class","cross_sell_SKUs","upsell_SKUs","tags",
"M-BP-PC1","M-BP-PC1",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/M-BP-PC1.jpg","Practice Chanter","McCallum Practice Chanter Child","McCallum Practice Chanter Child","McCallum Practice Chanter Practice Chanter","65","0","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"KACS-PC-P24","KACS-PC-P24",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/KACS-PC-P24.jpg","Practice Chanter Case","Padded Practice Chanter Case 24x6","Padded Practice Chanter Case 24x6","Padded Practice Chanter Case 24&quot; x 6&quot;","16","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"810784020220","810784020220",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/810784020220.jpg","Drum Cases Carriers","Hardcase Snare Drum Case","Hardcase Snare Drum Case","Molded Snare Drum Case by Hardcase","160","6","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"BP-M-BoreOil","BP-M-BoreOil",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/BP-M-BoreOil.jpg","Bagpipe Maintenance","Bore Oil","Bore Oil","Bagpipe Bore Oil - Pipers&#039; Choice Bore Oil contains a special preservative to help prevent cracking and warping of the bagpipe due to excessive dryness or over-absorption of moisture. Comes in a 1.25 oz. bottle and should be used occasionally to keep","5","5","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"U-HT-B-L","U-HT-B-L",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/U-HT-B-L.jpg","Kilt Hose","Bubble Top Hose Black Large","Bubble Top Hose Black Large","Bubble top Black hose.

These bubble top hose come in different colors and multiple sizes. These hose are machine washable. Depending on the Tartan you are wearing the correct choice of hose color can really help accent the kilt for you.","30","5","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"U-HT-OW-L","U-HT-OW-L",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/U-HT-OW-L.jpg","Kilt Hose","Bubble Top Hose Off White Large","Bubble Top Hose Off White Large","Large Bubble top Off White hose.

These bubble top hose come in different colors and multiple sizes. These hose are machine washable. Depending on the Tartan you are wearing the correct choice of hose color can really help accent the kilt for you.","30","2","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"U-HT-OW-M","U-HT-OW-M",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/U-HT-OW-M.jpg","Kilt Hose","Bubble Top Hose Off White Medium","Bubble Top Hose Off White Medium","Medium Bubble top Off White hose.

These bubble top hose come in different colors and multiple sizes. These hose are machine washable. Depending on the Tartan you are wearing the correct choice of hose color can really help accent the kilt for you.","30","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"U-SG-S","U-SG-S",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/U-SG-S.jpg","Sgian Dubh","Sgian Dubh Celtic Knot with Stone","Sgian Dubh Celtic Knot with Stone","Sgian Dubh with Stone","76.19","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"U-GB-12","U-GB-12",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/U-GB-12.jpg","Footwear","Ghillie Brogues size 12","Ghillie Brogues size 12","Ghillie Brogues size 12","135.24","1","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
"BP-P-Goose","BP-P-Goose",https://fhs-laptop1.fraserhighlandshoppe.ca/fhs/frontaccount/ing/company/1/images/BP-P-Goose.jpg","Bagpipe Parts","Bagpipe Goose Adaptor","Bagpipe Goose Adaptor","Bagpipe Goose Adaptor","12.14","3","1","0","0","Taxable","Standard","1","1","1","1","1","standard","","","",
