"stock_id", "Title", "barcode", "category", "price"
"PC-PC-Long","Pipers Choice Long Chanter","*PC-PC-LONG*","","0",
"PC-PC-Long","Pipers Choice Long Chanter","*PC-PC-LONG*","","0",
"PC-PC-Long","Pipers Choice Long Chanter","*PC-PC-LONG*","","0",
"PC-PC-Reg-Deluxe","Pipers Choice Regular Chanter Deluxe","*PC-PC-REG-DELUXE*","","0",
"BM-B-CoP1","College of Piping Tutor V1","*BM-B-COP1*","","0",
"BM-B-CoP1","College of Piping Tutor V1","*BM-B-COP1*","","0",
"BM-B-FM2","Fred Morrison Collection","*BM-B-FM2*","","0",
"BM-B-MS1","Antipodes Vol. 1","*BM-B-MS1*","","0",
"BM-B-MS2","Antipodes Vol. 2","*BM-B-MS2*","","0",
"BM-B-MS3","Antipodes Vol. 3","*BM-B-MS3*","","0",
"N-DOG-LRS","Royal Stewart Leash","*N-DOG-LRS*","","0",
"N-DOG-LNS","Nova Scotia Leash","*N-DOG-LNS*","","0",
"Shipping","Shipping From Supplier","*SHIPPING*","","0",
"tenor-tyfry-ult-b","TyFry Ultimate Tenor Mallets BLACK","*TENOR-TYFRY-ULT-B*","","0",
"tenor-tyfry-ult-b","TyFry Ultimate Tenor Mallets BLACK","*TENOR-TYFRY-ULT-B*","","0",
"tenor-tyfry-ult-b","TyFry Ultimate Tenor Mallets BLACK","*TENOR-TYFRY-ULT-B*","","0",
"d-premier-drumkey","Premier or Pearl Drumkey","*D-PREMIER-DRUMKEY*","","0",
"D-S-KP2","KP2 Drum Sticks","*D-S-KP2*","","0",
"D-S-KP2","KP2 Drum Sticks","*D-S-KP2*","","0",
"D-S-KP2","KP2 Drum Sticks","*D-S-KP2*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0",
"BP-R-Megarity-M","Megarity Chanter Reed (Medium)","*BP-R-MEGARITY-M*","","0",
"BP-R-Megarity-M","Megarity Chanter Reed (Medium)","*BP-R-MEGARITY-M*","","0",
"BP-R-Megarity-M","Megarity Chanter Reed (Medium)","*BP-R-MEGARITY-M*","","0",
"mallets-tenor-p-ty","TyFry Practice Mallets","*MALLETS-TENOR-P-TY*","","0",
"mallets-tenor-p-ty","TyFry Practice Mallets","*MALLETS-TENOR-P-TY*","","0",
"mallets-tenor-p-ty","TyFry Practice Mallets","*MALLETS-TENOR-P-TY*","","0",
"mallets-tenor-p-ty","TyFry Practice Mallets","*MALLETS-TENOR-P-TY*","","0",
"Slippers-tartan-BW-LARGE","Tartan Slippers  - Black Watch LARGE","*SLIPPERS-TARTAN-BW-LARGE*","","0",
"Slippers-tartan-BW-SMALL","Tartan Slippers  - Black Watch SMALL","*SLIPPERS-TARTAN-BW-SMALL*","","0",
"BowTie-tartan-BW","Tartan BowTie  - Black Watch ","*BOWTIE-TARTAN-BW*","","0",
"BowTie-tartan-RS","Tartan BowTie  - Royal Stewart ","*BOWTIE-TARTAN-RS*","","0",
"BowTie-tartan-ML","Tartan BowTie  - Maple Leaf ","*BOWTIE-TARTAN-ML*","","0",
"BowTie-tartan-NS","Tartan BowTie  - Nova Scotia ","*BOWTIE-TARTAN-NS*","","0",
"BowTie-tartan-NFLD","Tartan BowTie  - Newfoundland ","*BOWTIE-TARTAN-NFLD*","","0",
"BowTie-tartan-CB","Tartan BowTie  - Cape Breton ","*BOWTIE-TARTAN-CB*","","0",
"BM-B-CoP2","College of Piping Tutor V2","*BM-B-COP2*","","0",
"BM-B-CoP3","College of Piping Tutor V3","*BM-B-COP3*","","0",
"BM-B-CoPP","College of Piping Piobaireachd","*BM-B-COPP*","","0",
"KP-pc-kitchenpipes","Kitchen Pipes","*KP-PC-KITCHENPIPES*","","0",
"PC-PC-Reg","Pipers Choice Regular Chanter","*PC-PC-REG*","","0",
"PC-PC-Reg","Pipers Choice Regular Chanter","*PC-PC-REG*","","0",
"PC-PC-Long-Deluxe","Pipers Choice Long Chanter Deluxe","*PC-PC-LONG-DELUXE*","","0",
"PC-PC-Long-Deluxe","Pipers Choice Long Chanter Deluxe","*PC-PC-LONG-DELUXE*","","0",
