"stock_id", "Title", "barcode", "category", "price"
"BP-K-DR-Evo","Evolution Drone Reeds","*BP-K-DR-EVO*","","0","0",
"BP-R-Elliot-M","Elliot Chanter Reed (Medium)","*BP-R-ELLIOT-M*","","0","0",
"BP-R-Megarity-M","Megarity Chanter Reed (Medium)","*BP-R-MEGARITY-M*","","0","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0","0",
"BP-R-Megarity-W","Megarity Chanter Reed (Easy)","*BP-R-MEGARITY-W*","","0","0",
"ezdrone","EZ Drone Reeds ","*EZDRONE*","","0","0",
"ezdrone","EZ Drone Reeds ","*EZDRONE*","","0","0",
"N-DOG-LRS","Royal Stewart Leash","*N-DOG-LRS*","","0","0",
"N-DOG-LRS","Royal Stewart Leash","*N-DOG-LRS*","","0","0",
"N-ZP-T","Thistle Zipper Pull","*N-ZP-T*","","0","0",
"N-ZP-T","Thistle Zipper Pull","*N-ZP-T*","","0","0",
"N-ZP-T","Thistle Zipper Pull","*N-ZP-T*","","0","0",
"N-ZP-T","Thistle Zipper Pull","*N-ZP-T*","","0","0",
"N-ZP-T","Thistle Zipper Pull","*N-ZP-T*","","0","0",
"N-ZP-T","Thistle Zipper Pull","*N-ZP-T*","","0","0",
"N-ZP-T","Thistle Zipper Pull","*N-ZP-T*","","0","0",
"N-ZP-T","Thistle Zipper Pull","*N-ZP-T*","","0","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0","0",
"pc-reed-pcQ","Reed - Pipers Choice Practice Chanter","*PC-REED-PCQ*","","0","0",
"pc-reed-walsh","Reed - Walsh Practice Chanter","*PC-REED-WALSH*","","0","0",
"pc-reed-walsh","Reed - Walsh Practice Chanter","*PC-REED-WALSH*","","0","0",
"pc-reed-walsh","Reed - Walsh Practice Chanter","*PC-REED-WALSH*","","0","0",
"pc-reed-walsh","Reed - Walsh Practice Chanter","*PC-REED-WALSH*","","0","0",
"pc-reed-walsh","Reed - Walsh Practice Chanter","*PC-REED-WALSH*","","0","0",
"pc-reed-walsh","Reed - Walsh Practice Chanter","*PC-REED-WALSH*","","0","0",
"U-KP-T","Kilt Pin Thistle","*U-KP-T*","","0","0",
"U-KP-T","Kilt Pin Thistle","*U-KP-T*","","0","0",
"U-SG-TS","Sgian Dubh Thistle with Stone","*U-SG-TS*","","0","0",
"U-SG-TS","Sgian Dubh Thistle with Stone","*U-SG-TS*","","0","0",
"PC-PC-Child","Pipers Choice Child Chanter","*PC-PC-CHILD*","","0","0",
"PC-PC-Child","Pipers Choice Child Chanter","*PC-PC-CHILD*","","0","0",
"BeerMug-Clan","Beer Mug - Clan","*BEERMUG-CLAN*","","0","0",
"Rock-Clan","Rock Glass - Clan","*ROCK-CLAN*","","0","0",
"BP-R-Elliot-W","Elliot Chanter Reed (Weak)","*BP-R-ELLIOT-W*","","0","0",
"BP-R-Elliot-W","Elliot Chanter Reed (Weak)","*BP-R-ELLIOT-W*","","0","0",
"Shipping","Shipping From Supplier","*SHIPPING*","","0","0",
