"Token", "Item Name", "Description", "Category", "SKU", "Variation Name", "Price", "Enabled Fraser Highland Shoppe", "Current Quantity Fraser Highland Shoppe", "New Quantity Fraser Highland Shoppe", "Stock Alert Enabled Fraser Highland Shoppe", "Stock Alert Count Fraser Highland Shoppe", "Price Fraser Highland Shoppe", "Enabled DEVEL", "Current Quantity DEVEL", "New Quantity DEVEL", "Stock Alert Enabled DEVEL", "Stock Alert Count DEVEL", "Price DEVEL", "Tax - GST (5%)"
,"Pipers Choice Backpack Case","The Pipers&#039; Choice Backpack style case is one of the most up to date, stylish cases on the market. This case will accommodate all styles of pipe bags and systems, including; Ross Canister, Bannatyne, Canmore and leather bags. The case features 2 concealable padded shoulder straps and 2 handles for carrying methods. There are internal compartments that provide protection for your chanter. As well this case features external compartments to hold your maintenance items in. It is 26.5"" x 12.5"" x 7"" ","Bagpipe Case",BP-C-Backpack,Regular,123.81,Y,0,0,Y,1,,N,,,,,,Y
,"Pipers&#039; Wood Pipe Case","The Piper&#039;s Pipe Case is made of lightweight plywood and covered with black vinyl on the outer surface and protective velor on the inside. There are elastic straps on the inside lid to hold music or a practice chanter. 

The measurements for the case are 11.5"" x 24"" x 5"" 

These pipe cases have been designed to protect your instrument and also provide enough space for such necessary articles as music, practice chanter, seasoning, reeds and other accessories. This case is light in weight making it easy to carry for both adults and children. ","Bagpipe Case",case-pipers-wood,Regular,85.71,Y,1,1,Y,0,,N,,,,,,Y
,"Soft Sided Bagpipe Case (PC)","Soft Sided Pipers Case - The soft-sided pipe case from pipers choice is reinforced with thick foam padding and soft plastic for added stability. The case come with backpack straps, or it can be carried normally. This case will accommodate a Ross canister bag system. The measurements are 24"" X 11.5"" X 6.5"" ","Bagpipe Case",BP-C-Softside,Regular,85.71,Y,2,2,Y,0,,N,,,,,,Y
,"Airtight Seasoning 8oz","Airtight Pipe bag seasoning is one of the most recognizable seasonings on the market today. This seasoning comes in an 8 oz tin, and can be warmed on the stove top in a warm pan of water. This tin should season the bag a total of up to 4 times.","Bagpipe Maintenance",airtight-Seasoning,Regular,20.95,Y,3,3,Y,0,,N,,,,,,Y
,"Bagtight Seasoning 6oz","Bagtight seasoning is to be used to season the pipe bag. Seasoning a pipe bag regularly will keep your bag from leaking air, and make the pipe bag tight! As well, the seasoning also helps to condition the skin of the bag and provide some moisture control.","Bagpipe Maintenance",BP-M-Season-bt,Regular,15.95,Y,4,4,Y,2,,N,,,,,,Y
,"Big Mac valve","The ""Big Mac"" Valve - The big brother to the ""Little Mac."" This valve serves multiple functions as a one-way valve, water trap and air redirect. The Big Mac inserts into the bottom of the blowpipe stock (via zippered bag) and features an Airstream valve that is protected internally and is easily accessed for cleaning. The section inside the stock allows for moisture to collect to be dumped later. Last, the right angle redirect forces air away from the pipe chanter reed delaying the time it takes for moisture to saturate the reed. An tube can be added to this product for further water retention and air direct.","Bagpipe Maintenance",BP-M-BigMac,Regular,24.99,Y,1,1,Y,0,,N,,,,,,Y
,"Bore Oil","Bagpipe Bore Oil - Pipers&#039; Choice Bore Oil contains a special preservative to help prevent cracking and warping of the bagpipe due to excessive dryness or over-absorption of moisture. Comes in a 1.25 oz. bottle and should be used occasionally to keep","Bagpipe Maintenance",BP-M-BoreOil,Regular,5.00,Y,4,4,Y,1,,N,,,,,,Y
,"Chanter Brush","Chanter Brushes allow you to clean the chanter bore which can collect a great deal of sediment that if allowed to build up, diminishes the bore and changes the pitch. The absorbent cotton brushes are 17"" long with 9"" of tapered cotton specifical","Bagpipe Maintenance",BP-M-BrushC,Regular,7.62,Y,3,3,Y,1,,N,,,,,,Y
,"Chanter Tuning Tape","Chanter Tape - This is a non-slip chanter tape that does not peel or fray. Additionally the quality of the adhesive allows for re-application of the tape and leaves no residue on the chanter. The tape can be easily torn for the roll and is moisture and he","Bagpipe Maintenance",BP-Tape,Regular,4.76,Y,7,7,Y,1,,N,,,,,,Y
,"Cobblers Wax","Cobbler&#039;s Wax. Complete with a piece of leather to use as a hand grip. This cobblers wax is specially formulated to apply black wax to the first bit of hemp for extra sticking power. It is used when starting to hemp a joint on the set of pipes, and h","Bagpipe Maintenance",BP-M-WaxC,Regular,4.99,Y,3,3,Y,1,,N,,,,,,Y
,"Corking Kit","The Drone corking kit will allow you to put cork on your drone slides in place of hemp for smooth tuning ability. This was at one time the popular thing to do, and is becoming more popular lately. The cork does not expand and contract to the same extremes at hemp does, so your tuning slides are more accurate in many different climates.","Bagpipe Maintenance",BP-M-Cork,Regular,19.05,Y,3,3,Y,0,,N,,,,,,Y
,"Drone Brush","Drone Brushes are 17"" long with a 9"" absorbent cotton tip to remove moisture from the drone after playing. The soft cotton will not scratch the wood and can be washed out when soiled. This brush is also used in the application of Bagpipe bore oi","Bagpipe Maintenance",BP-M-BrushD,Regular,7.62,Y,2,2,Y,1,,N,,,,,,Y
,"Lil Mac Reamer","The Tapered Reamer allows easy installation of the ""Little Mac"" valve if it is too large for the blowpipe seat. When Properly installed, this will result in an airtight seal for when playing the pipes. It is done by hand in no time at all. It can also be used to open the seat of a pipe chanter, but this is only recommended for those who understand the workings of a chanter. ","Bagpipe Maintenance",BP-M-Reamer,Regular,14.00,Y,1,1,Y,0,,N,,,,,,Y
,"Lil Mac valve","Keeping the bag full and providing a constant pressure for steady blowing is hard enough when playing your bagpipe, so you don&#039;t need the added worry and aggravation of a wasteful air leak through your mouthpiece. This can be 100 per cent eliminated when you use the ""Little Mac"" Valve. You will benefit in the following ways; does not restrict blowing; an instant airtight seal; little or no maintenance; will not dry or wear out; top quality and durability. ","Bagpipe Maintenance",BP-M-LilMac,Regular,12.86,Y,2,2,Y,0,,N,,,,,,Y
,"Mouthpiece Protectors","Mouthpiece Protectors - Protect your mouthpiece and extend its life with a mouthpiece protector (2/pack). These mouthpiece protectors are now used by many pipers on all different types of blowpipes. The soft rubber helps you protect the blowpipe and your teeth.","Bagpipe Maintenance",BP-M-MPProt,Regular,2.86,Y,9,9,Y,2,,N,,,,,,Y
,"Piper&#039;s Pal Recharge kit","Piper&#039;s Pal Recharge kit - Recharge of the humidity control system is recommended annuallly to keep your Piper&#039;s Pal in optimal condition","Bagpipe Maintenance",pp-recharge,Regular,10.48,Y,1,1,Y,0,,N,,,,,,Y
,"Reed Mandrel","The Reed Mandrel is a great little tool for altering your pipe chanter reed. This is a tool that can be used for adjusting the strength of your pipe chanter reed. ","Bagpipe Maintenance",BP-M-Mandril,Regular,19.25,Y,1,1,Y,0,,N,,,,,,Y
,"Teflon Tape","Teflon Tape","Bagpipe Maintenance",teflon-tape,Regular,3.00,Y,2,2,Y,1,,N,,,,,,Y
,"Waxed Hemp Black","Black Waxed Hemp - Black waxed hemp is used as a replacement to, or in combination with plain yellow hemp. The Black waxed hemp is a thicker weave than the yellow hemps, and is commonly used on drone tuning slides, and stock joints. It comes pre-coated with wax, so there is no need for applying beeswax to the hemp to strengthen it. Having your pipes hemped-up properly is one of the most important maintenance aspects on your bagpipe. It will help with proper tuning, and air efficiency.","Bagpipe Maintenance",BP-M-HempB,Regular,12.86,Y,7,7,Y,1,,N,,,,,,Y
,"Waxed Hemp Yellow","Plain Yellow Hemp - Bagpipe Hemp is a staple for every piper. Hemp is used on your bagpipes, and most practice chanters. It seems like you are always having to adjust a part of your pipes, and a roll of hemp is a must in every pipers case. Having your pip","Bagpipe Maintenance",BP-M-HempY,Regular,12.86,Y,7,7,Y,1,,N,,,,,,Y
,"**Shepherd Pipe Bag Large Special Order","The Shepherd Regulator Pipe 
Bag relies on the principle of using a 
Hydrophilic Material. Therefore the bags are relatively maintenance-free and tend 
to be more hygienic. Bags are fitted with zips to facilitate access to inside 
bags, and are offered in three sizes Small, Medium and Large.

The Shepherd bag is supplied with a Moisture Control System.

Special Order.  Prices are based upon a 1CAD=.58GBP.  As the exchange rate fluctuates so will the final price.","Bagpipe Parts",RP90L,Regular,270.00,Y,0,0,Y,0,,N,,,,,,Y
,"**Shepherd Pipe Bag Medium Special Order","The Shepherd Regulator Pipe 
Bag relies on the principle of using a 
Hydrophilic Material. Therefore the bags are relatively maintenance-free and tend 
to be more hygienic. Bags are fitted with zips to facilitate access to inside 
bags, and are offered in three sizes Small, Medium and Large.

The Shepherd bag is supplied with a Moisture Control System.

Special Order.  Prices are based upon a 1CAD=.58GBP.  As the exchange rate fluctuates so will the final price.","Bagpipe Parts",RP90M,Regular,270.00,Y,0,0,Y,0,,N,,,,,,Y
,"Adjustable Mouthpiece","The adjustable mouthpiece is for people who would like to make the slight adjustment to the position of their blowpipe. This mouthpiece has a swivel ball built in to the base of the mouthpiece so you can swivel it to find your comfort zone. It is made of plastic and will fit most blowpipes.","Bagpipe Parts",bp-adjust-mouthpiece,Regular,20.95,Y,2,2,Y,0,,N,,,,,,Y
,"Airstream Deluxe Mouthpiece 4.5 Inch","This mouthpiece is basically the same as the standard Airstream Mouthpiecewith an added imitation ivory bulb on it. All mouthpieces come with a mouthpiece protector on them. They are threaded with a universal fit, so they will fit most makes of blowpipes.","Bagpipe Parts",BP-M-AirstreamD4,Regular,35.00,Y,1,1,Y,0,,N,,,,,,Y
,"Airstream Deluxe Mouthpiece 5.5 Inch","This mouthpiece is basically the same as the standard Airstream Mouthpiecewith an added imitation ivory bulb on it. All mouthpieces come with a mouthpiece protector on them. They are threaded with a universal fit, so they will fit most makes of blowpipes.","Bagpipe Parts",BP-M-AirstreamD5,Regular,35.00,Y,1,1,Y,0,,N,,,,,,Y
,"Airstream Mouthpiece 3.5 Inch","The Airstream Mouthpiece is the same mouthpiece that comes standard on all Airstream blowpipes. It has an oval shape to allow for more airflow to your pipe bag. This is essential for the large bore blowpipes, as the bore size will not matter if the mouthp","Bagpipe Parts",BP-M-Airstream3,Regular,21.90,Y,2,2,Y,0,,N,,,,,,Y
,"Airstream Mouthpiece 4.5 Inch","The Airstream Mouthpiece is the same mouthpiece that comes standard on all Airstream blowpipes. It has an oval shape to allow for more airflow to your pipe bag. This is essential for the large bore blowpipes, as the bore size will not matter if the mouthp","Bagpipe Parts",BP-M-Airstream4,Regular,21.90,Y,3,3,Y,1,,N,,,,,,Y
,"Airstream Mouthpiece 5.5 Inch","The Airstream Mouthpiece is the same mouthpiece that comes standard on all Airstream blowpipes. It has an oval shape to allow for more airflow to your pipe bag. This is essential for the large bore blowpipes, as the bore size will not matter if the mouthp","Bagpipe Parts",BP-M-Airstream5,Regular,21.90,Y,2,2,Y,1,,N,,,,,,Y
,"AirStream Tilt Blowpipe","AirStream Tilt Blowpipe - This blowpipe is designed for ultimate comfort. It is fully adjustable in both length and angle. The Tilt comes in both mounted and unmounted. It has a 3/8"" bore, built in valve, and a mouthpiece is included. ","Bagpipe Parts",airstream-blow-tilt,Regular,114.29,Y,1,1,Y,0,,N,,,,,,Y
